TeamA1,TeamA2,TeamA3,TeamA4,TeamA5,TeamB1,TeamB2,TeamB3,TeamB4,TeamB5,Winner
rick,teds,miguel,andre,guedes,aquaryus,mig,dig,leugim,dias,1
rick,dig,miguel,andre,guedes,aquaryus,mig,teds,leugim,dias,0
balau,ze,miguel,guedes,dig,rick,bernardo,zeseguro,teds,cesar,0
andre,teds,leugim,bogas,guedes,rick,kenps,miguel,ze,mfsco,0
rick,leugim,mig,mfsco,kenps,teds,dias,dig,miguel,mec,1
ze,miguel,bogas,teds,lança,andre,miguel,dias,rick,kenps,1
andre,jorge,rui,kenps,mig,miguel,dias,aquaryus,leugim,lança,0
andre,kenps,teds,aquaryus,leugim,bogas,miguel,rick,lança,mec,0
dig,lança,ze,mec,teds,kenps,mig,bogas,aquaryus,miguel,0
andre,bogas,miguel,dias,mig,jorge,rui,teds,kenps,rick,0
andre,guedes,miguel,luisao,rick,dig,dias,jorge,rui,mig,0
ze,bogas,guedes,rick,mig,dig,miguel,luisao,teds,pedro,0
ze,joao_miguel,joao_bernardo,kenps,mig,dig,miguel,joel,rick,lança,1
ze,miguel,teds,dias,kenps,andre,dig,leugim,mig,lança,1
bogas,dig,teds,jorge,rui,andre,miguel,bernardo,lança,mig,1
miguel,bernardo,rick,lança,mec,bogas,ze,sucena,nuniverso,teds,1
dig,miguel,rick,mig,dias,andre,bernardo,aquaryus,mec,kenps,1
guedes,ze,nuniverso,bernardo,rick,sucena,dig,miguel,pedro_angel,cesar,0
bernardo,nuniverso,dig,rick,teds,andre,miguel,leugim,mig,kenps,0
bernardo,nuniverso,dig,balau,miguel,andre,guedes,rick,teds,cesar,2
teds,helder,jonny,miguel,jorge,bernardo,rick,mig,dias,rui,0
balau,dig,rick,teds,mig,nuniverso,sucena,miguel,leugim,kenps,0
bernardo,dig,miguel,jorge,dias,nuniverso,rick,sucena,mig,kenps,0
bernardo,dig,rick,miguel,mig,ze,nuniverso,teds,paredes,kenps,2
bogas,teds,miguel,helder,jorge_dcc,bernardo,ze,balau,cesar,sucena,2
bernardo,paredes,miguel,mec,leugim,dig,teds,rick,mig,kenps,0
bernardo,dig,miguel,helder,cesar,balau,ze,mec,teds,sucena,0
dig,marcelo,teds,mec,rick,bernardo,ze,miguel,leugim,mig,0
andre,balau,miguel,rick,cesar,guedes,bogas,bernardo,teds,mig,0
bernardo,rick,luisao,leugim,mig,dig,miguel,teds,dias,kenps,0
bernardo,ze,luisao,miguel,kenps,dig,rick,teds,mig,dias,2
